EmpID,Employee_Name,MaritalStatusID,GenderID,Salary,Termd,PositionID,State,DOB,DateofHire,DateofTermination,Department,ManagerID,PerformanceScore,EngagementSurvey
10026,"Adinolfi, Wilson  K",0,1,62506,0,19,MA,30507,40729,,Production       ,22,Exceeds,4.6
10084,"Ait Sidi, Karthikeyan   ",1,1,104437,1,27,MA,27519,42093,42537,IT/IS,4,Fully Meets,4.96
10196,"Akinkuolie, Sarah",1,0,64955,1,20,MA,32405,40729,41176,Production       ,20,Fully Meets,3.02
10088,"Alagbe,Trina",1,0,64991,0,19,MA,32413,39454,,Production       ,16,Fully Meets,4.84
10069,"Anderson, Carol ",2,0,50825,1,19,MA,32759,40735,42619,Production       ,39,Fully Meets,5
10002,"Anderson, Linda  ",0,0,57568,0,19,MA,28267,40917,,Production       ,11,Exceeds,5
10194,"Andreola, Colby",0,0,95660,0,24,MA,28999,41953,,Software Engineering,10,Fully Meets,3.04
10062,"Athwal, Sam",4,1,59365,0,19,MA,30365,41547,,Production       ,19,Fully Meets,5
10114,"Bachiochi, Linda",0,0,47837,0,19,MA,25610,40000,,Production       ,12,Fully Meets,4.46
10250,"Bacong, Alejandro ",2,1,50178,0,14,MA,32149,42009,,IT/IS,7,Fully Meets,5
10252,"Baczenski, Rachael  ",1,0,54670,1,19,MA,27041,40553,42747,Production       ,14,Fully Meets,4.2
10242,"Barbara, Thomas",1,1,47211,1,19,MA,27081,41001,42632,Production       ,20,Fully Meets,4.2
10012,"Barbossa, Hector",2,1,92328,0,9,TX,32328,41953,,IT/IS,4,Exceeds,4.28
10265,"Barone, Francesco  A",0,1,58709,0,19,MA,30517,40959,,Production       ,18,Fully Meets,4.6
10066,"Barton, Nader",2,1,52505,1,19,MA,28321,41176,42831,Production       ,22,Fully Meets,5
10061,"Bates, Norman",0,1,57834,1,19,MA,29877,40595,42951,Production       ,18,Fully Meets,5
10023,"Beak, Kimberly  ",1,0,70131,0,20,MA,24214,42572,,Production       ,18,Exceeds,4.4
10055,"Beatrice, Courtney ",0,0,59026,0,19,MA,25868,40637,,Production       ,16,Fully Meets,5
10245,"Becker, Renee",0,0,110000,1,8,MA,31506,41827,42259,IT/IS,4,Fully Meets,4.5
10277,"Becker, Scott",0,1,53250,0,19,MA,28951,41463,,Production       ,40,Fully Meets,4.2
10046,"Bernstein, Sean",0,1,51044,0,19,MA,25924,41001,,Production       ,11,Fully Meets,5
10226,"Biden, Lowan  M",2,0,64919,0,19,MA,21546,41505,,Production       ,19,Fully Meets,4.2
10003,"Billis, Helen",1,0,62910,0,19,MA,32752,41827,,Production       ,12,Exceeds,5
10294,"Blount, Dianna",0,0,66441,0,20,MA,33137,40637,,Production       ,22,Needs Improvement,2
10267,"Bondwell, Betsy",0,0,57815,1,20,MA,24488,40553,41733,Production       ,16,Fully Meets,4.8
10199,"Booth, Frank",0,1,103613,1,30,CT,23588,41687,42419,IT/IS,4,Fully Meets,3.5
10081,"Boutwell, Bonalyn",1,0,106367,0,26,MA,31871,42051,,Admin Offices,3,Fully Meets,5
10175,"Bozzi, Charles",0,1,74312,1,18,MA,25637,41547,41858,Production       ,2,Fully Meets,3.39
10177,"Brill, Donna",1,0,53492,1,19,MA,33109,41001,41440,Production       ,14,Fully Meets,3.35
10238,"Brown, Mia",1,0,63000,0,1,MA,32105,39748,,Admin Offices,1,Fully Meets,4.5
10184,"Buccheri, Joseph  ",0,1,65288,0,20,MA,30525,41911,,Production       ,40,Fully Meets,3.19
10203,"Bugali, Josephine ",3,0,64375,0,19,MA,25506,41589,,Production       ,20,Fully Meets,3.5
10188,"Bunbury, Jessica",1,0,74326,1,3,VA,23529,40770,41853,Sales,17,Fully Meets,3.14
10107,"Burke, Joelle",0,0,63763,0,20,MA,29282,40973,,Production       ,11,Fully Meets,4.51
10181,"Burkett, Benjamin ",1,1,62162,0,20,MA,28356,40637,,Production       ,19,Fully Meets,3.25
10150,"Cady, Max ",0,1,77692,0,25,MA,24433,40770,,Software Engineering,5,Fully Meets,3.84
10001,"Candie, Calvin",0,1,72640,0,18,MA,30537,42397,,Production       ,2,Exceeds,5
10085,"Carabbio, Judith",0,0,93396,0,24,MA,31872,41589,,Software Engineering,10,Fully Meets,4.96
10115,"Carey, Michael  ",0,1,52846,0,19,MA,30349,41729,,Production       ,18,Fully Meets,4.43
10082,"Carr, Claudia  N",0,0,100031,0,27,MA,31569,42551,,IT/IS,4,Fully Meets,5
10040,"Carter, Michelle ",0,0,71860,0,3,VT,23146,41869,,Sales,17,Fully Meets,5
10067,"Chace, Beatrice ",0,0,61656,0,19,MA,18630,41911,,Production       ,22,Fully Meets,5
10108,"Champaigne, Brian",1,1,110929,0,5,MA,26338,42619,,IT/IS,5,Fully Meets,4.5
10210,"Chan, Lin",0,0,54237,0,19,MA,28898,41771,,Production       ,16,Fully Meets,3.3
10154,"Chang, Donovan  E",0,1,60380,0,19,MA,30552,41463,,Production       ,40,Fully Meets,3.8
10200,"Chigurh, Anton",0,1,66808,0,3,TX,25730,41043,,Sales,21,Fully Meets,3
10240,"Chivukula, Enola",0,0,64786,1,19,MA,30555,40721,42323,Production       ,11,Fully Meets,4.3
10168,"Cierpiszewski, Caroline  ",0,0,64816,0,19,MA,32294,40819,,Production       ,19,Fully Meets,3.58
10220,"Clayton, Rick",0,1,68678,0,14,MA,31295,41157,,IT/IS,6,Fully Meets,4.7
10275,"Cloninger, Jennifer",1,0,64066,1,20,MA,29829,40679,41281,Production       ,12,Fully Meets,4.2
10269,"Close, Phil",1,1,59369,1,20,MA,28819,40420,40812,Production       ,14,Fully Meets,4.2
10029,"Clukey, Elijian",1,1,50373,0,19,MA,29459,42557,,Production       ,12,Exceeds,4.1
10261,"Cockel, James",0,1,63108,0,19,MA,28376,41463,,Production       ,14,Fully Meets,4.4
10292,"Cole, Spencer",0,1,59144,1,19,MA,29079,40735,42636,Production       ,20,Needs Improvement,2
10282,"Corleone, Michael",2,1,68051,0,18,MA,27745,40379,,Production       ,2,Needs Improvement,4.13
10019,"Corleone, Vito",0,1,170500,0,10,MA,30394,39818,,Production       ,2,Exceeds,3.7
10094,"Cornett, Lisa ",1,0,63381,0,19,MA,28215,42009,,Production       ,18,Fully Meets,4.73
10193,"Costello, Frank",1,1,83552,0,9,MA,31650,42093,,IT/IS,4,Fully Meets,3.04
10132,"Crimmings,   Jean",0,0,56149,0,19,MA,31877,42557,,Production       ,22,Fully Meets,4.12
10083,"Cross, Noah",0,1,92329,0,28,CT,23994,41953,,IT/IS,7,Fully Meets,5
10099,"Daneault, Lynn",0,0,65729,0,21,VT,32982,41764,,Sales,15,Fully Meets,4.62
10212,"Daniele, Ann  ",1,0,85028,0,28,CT,19011,41953,,IT/IS,7,Fully Meets,3.1
10056,"Darson, Jene'ya ",1,0,57583,0,19,MA,28799,41092,,Production       ,16,Fully Meets,5
10143,"Davis, Daniel",0,1,56294,0,20,MA,29112,40854,,Production       ,20,Fully Meets,3.96
10311,"Dee, Randy",1,1,56991,0,19,MA,32248,43290,,Production       ,12,Fully Meets,4.3
10070,"DeGweck,  James",1,1,55722,1,19,MA,28429,40679,42529,Production       ,39,Fully Meets,5
10155,"Del Bosque, Keyla",0,0,101199,0,24,MA,29041,40917,,Software Engineering,10,Fully Meets,3.79
10306,"Delarge, Alex",0,1,61568,0,3,AL,27700,41911,,Sales,17,PIP,1.93
10100,"Demita, Carla",3,0,58275,1,20,MA,18684,40637,42312,Production       ,18,Fully Meets,4.62
10310,"Desimone, Carl ",1,1,53189,0,19,MA,24581,41827,,Production       ,11,PIP,1.12
10197,"DeVito, Tommy",0,1,96820,0,4,MA,30563,42781,,IT/IS,13,Fully Meets,3.01
10276,"Dickinson, Geoff ",0,1,51259,0,19,MA,30270,41771,,Production       ,19,Fully Meets,4.3
10304,"Dietrich, Jenna  ",0,0,59231,0,3,WA,31911,40959,,Sales,17,PIP,2.3
10284,"DiNocco, Lily ",1,0,61584,0,19,MA,28826,41281,,Production       ,12,Needs Improvement,3.88
10207,"Dobrin, Denisa  S",0,0,46335,0,19,MA,31692,41001,,Production       ,14,Fully Meets,3.4
10133,"Dolan, Linda",1,0,70621,0,14,MA,32342,42009,,IT/IS,7,Fully Meets,4.11
10028,"Dougall, Eric",0,1,138888,0,13,MA,25758,41644,,IT/IS,5,Exceeds,4.3
10006,"Driver, Elle",0,0,74241,0,3,CA,32455,40553,,Sales,21,Exceeds,4.77
10105,"Dunn, Amy  ",0,0,75188,0,18,MA,26996,41900,,Production       ,2,Fully Meets,4.52
10211,"Dunne, Amy",1,0,62514,0,19,MA,26930,40294,,Production       ,19,Fully Meets,2.9
10064,"Eaton, Marianne",1,0,60070,1,19,MA,33486,40637,42892,Production       ,20,Fully Meets,5
10247,"Engdahl, Jean",0,1,48888,0,19,MA,27180,41953,,Production       ,18,Fully Meets,4.7
10235,"England, Rex",1,1,54285,0,19,MA,28727,41729,,Production       ,18,Fully Meets,4.2
10299,"Erilus, Angela",3,0,56847,0,20,MA,32745,41827,,Production       ,22,PIP,3
10280,"Estremera, Miguel",0,1,60340,1,19,MA,30561,41001,43370,Production       ,22,Needs Improvement,5
10296,"Evensen, April",0,0,59124,1,19,MA,32634,41687,43156,Production       ,16,Needs Improvement,2.3
10290,"Exantus, Susan",1,0,99280,1,24,MA,31912,40665,41430,Software Engineering,10,Needs Improvement,2.1
10263,"Faller, Megan ",1,0,71776,0,20,MA,28755,41827,,Production       ,16,Fully Meets,4.4
10136,"Fancett, Nicole",0,0,65902,0,20,MA,32047,41687,,Production       ,40,Fully Meets,4
10189,"Ferguson, Susan",1,0,57748,1,19,MA,20193,40854,42507,Production       ,39,Fully Meets,3.13
10308,"Fernandes, Nilson  ",1,1,64057,0,19,MA,32799,42135,,Production       ,11,PIP,1.56
10309,"Fett, Boba",0,1,53366,0,15,MA,31946,42093,,IT/IS,7,PIP,1.2
10049,"Fidelia,  Libby",1,0,58530,0,19,MA,29661,40917,,Production       ,12,Fully Meets,5
10093,"Fitzpatrick, Michael  J",0,1,72609,1,20,MA,29860,40679,41449,Production       ,11,Fully Meets,4.76
10163,"Foreman, Tanya",1,0,55965,1,20,MA,30628,40637,41283,Production       ,19,Fully Meets,3.66
10305,"Forrest, Alex",1,1,70187,1,3,MA,27582,41911,43331,Sales,21,PIP,2
10015,"Foss, Jason",0,1,178000,0,12,MA,29407,40648,,IT/IS,5,Exceeds,5
10080,"Foster-Baker, Amy",1,0,99351,0,26,MA,28961,39818,,Admin Offices,9,Fully Meets,5
10258,"Fraval, Maruk ",0,1,67251,0,3,CT,23251,40792,,Sales,21,Fully Meets,4.3
10273,"Galia, Lisa",0,0,65707,0,14,CT,25025,40299,,IT/IS,6,Fully Meets,4.7
10111,"Garcia, Raul",0,1,52249,0,19,MA,31305,42093,,Production       ,14,Fully Meets,4.5
10257,"Gaul, Barbara",0,0,53171,0,19,MA,30652,40679,,Production       ,18,Fully Meets,4.2
10159,"Gentry, Mildred",1,0,51337,0,19,MA,33147,42093,,Production       ,22,Fully Meets,3.73
10122,"Gerke, Melisa",2,0,51505,1,19,MA,25703,40854,42689,Production       ,16,Fully Meets,4.24
10142,"Gill, Whitney  ",4,0,59370,1,3,OH,26124,41827,42252,Sales,17,Fully Meets,3.97
10283,"Gilles, Alex",1,1,54933,1,19,MA,27250,41001,42180,Production       ,39,Needs Improvement,3.97
10018,"Girifalco, Evelyn",0,0,57815,0,19,MA,29349,41911,,Production       ,11,Exceeds,3.9
10255,"Givens, Myriam",0,0,61555,0,3,IN,32773,42051,,Sales,21,Fully Meets,4.5
10246,"Goble, Taisha",0,0,114800,1,8,MA,26229,42051,42078,IT/IS,4,Fully Meets,4.6
10228,"Goeth, Amon",1,1,74679,0,14,MA,32836,42093,,IT/IS,7,Fully Meets,4.3
10243,"Gold, Shenice  ",0,0,53018,0,19,MA,33773,41589,,Production       ,19,Fully Meets,4.3
10031,"Gonzalez, Cayo",2,1,59892,0,19,MA,25475,40735,,Production       ,12,Exceeds,4.5
10300,"Gonzalez, Juan",1,1,68898,1,20,MA,23662,40294,40693,Production       ,12,PIP,3
10101,"Gonzalez, Maria",3,0,61242,0,14,MA,29692,42009,,IT/IS,7,Fully Meets,4.61
10237,"Good, Susan",1,0,66825,0,20,MA,31557,41771,,Production       ,14,Fully Meets,4.6
10051,"Gordon, David",1,1,48285,0,19,MA,28996,41092,,Production       ,14,Fully Meets,5
10218,"Gosciminski, Phylicia  ",3,0,66149,0,20,MA,30658,41547,,Production       ,20,Fully Meets,4.4
10256,"Goyal, Roxana",1,0,49256,0,19,MA,27311,41505,,Production       ,20,Fully Meets,4.1
10098,"Gray, Elijiah  ",2,1,62957,0,18,MA,29778,42157,,Production       ,2,Fully Meets,4.63
10059,"Gross, Paula",2,0,63813,1,19,MA,30457,40595,41650,Production       ,18,Fully Meets,5
10234,"Gruber, Hans",1,1,99020,0,4,MA,32689,42845,,IT/IS,13,Fully Meets,4.2
10109,"Guilianno, Mike",0,1,71707,1,3,TN,25243,40975,41943,Sales,17,Fully Meets,4.5
10125,"Handschiegl, Joanne",1,0,54828,0,19,MA,28207,40875,,Production       ,22,Fully Meets,4.2
10074,"Hankard, Earnest",0,1,64246,0,20,MA,32365,41589,,Production       ,18,Fully Meets,5
10097,"Harrington, Christie ",0,0,52177,1,19,MA,19224,40917,42353,Production       ,39,Fully Meets,4.64
10007,"Harrison, Kara",1,0,62065,0,19,MA,27151,41771,,Production       ,11,Exceeds,4.76
10129,"Heitzman, Anthony",0,1,46998,0,19,MA,30685,41134,,Production       ,19,Fully Meets,4.17
10075,"Hendrickson, Trina",0,0,68099,1,20,MA,26538,40553,41443,Production       ,18,Fully Meets,5
10167,"Hitchcock, Alfred",1,1,70545,0,3,NH,32400,41869,,Sales,17,Fully Meets,3.6
10195,"Homberger, Adrienne  J",1,0,63478,1,20,MA,30728,40770,41006,Production       ,30,Fully Meets,3.03
10112,"Horton, Jayne",0,0,97999,0,8,MA,30733,42093,,IT/IS,4,Fully Meets,4.48
10272,"Houlihan, Debra",1,0,180000,0,11,RI,24183,41764,,Sales,2,Fully Meets,4.5
10182,"Howard, Estelle",1,0,49920,1,2,MA,31306,42051,42109,Admin Offices,1,Fully Meets,3.24
10248,"Hudson, Jane",0,0,55425,0,19,MA,31573,40959,,Production       ,19,Fully Meets,4.8
10201,"Hunts, Julissa",0,0,69340,0,20,MA,30752,42527,,Production       ,16,Fully Meets,3
10214,"Hutter, Rosalie",3,0,64995,0,20,MA,33731,42160,,Production       ,40,Fully Meets,4.5
10160,"Huynh, Ming",2,0,68182,1,20,MA,28025,40595,41365,Production       ,11,Fully Meets,3.72
10289,"Immediato, Walter",1,1,83082,1,18,MA,28079,40595,41176,Production       ,2,Needs Improvement,2.34
