ID,Name,Gender,"Civil Status",State,Department
10003,"Billis, Helen",FEMALE,Married,MA,"Production       "
10007,"Harrison, Kara",FEMALE,Married,MA,"Production       "
10011,"Rivera, Haley  ",FEMALE,Married,MA,"Production       "
10016,"Petrowsky, Thelma",FEMALE,Married,MA,IT/IS
10017,"Liebig, Ketsia",FEMALE,Married,MA,"Production       "
10021,"Osturnka, Adeel",MALE,Married,MA,"Production       "
10022,"Volk, Colleen",FEMALE,Married,MA,"Production       "
10023,"Beak, Kimberly  ",FEMALE,Married,MA,"Production       "
10029,"Clukey, Elijian",MALE,Married,MA,"Production       "
10032,"Peters, Lauren",FEMALE,Married,MA,"Production       "
10034,"Johnson, George",MALE,Married,MA,"Production       "
10044,"Tredinnick, Neville ",MALE,Married,MA,IT/IS
10045,"Turpin, Jumil",MALE,Married,MA,IT/IS
10047,"Robinson, Alain  ",MALE,Married,MA,"Production       "
10048,"Wilber, Barry",MALE,Married,MA,"Production       "
10049,"Fidelia,  Libby",FEMALE,Married,MA,"Production       "
10050,"Pham, Hong",MALE,Married,MA,"Production       "
10051,"Gordon, David",MALE,Married,MA,"Production       "
10052,"Langton, Enrico",MALE,Married,MA,"Production       "
10053,"Maurice, Shana",FEMALE,Married,MA,"Production       "
10056,"Darson, Jene'ya ",FEMALE,Married,MA,"Production       "
10057,"Lydon, Allison",FEMALE,Married,MA,"Production       "
10063,"Newman, Richard ",MALE,Married,MA,"Production       "
10064,"Eaton, Marianne",FEMALE,Married,MA,"Production       "
10070,"DeGweck,  James",MALE,Married,MA,"Production       "
10073,"Mancuso, Karen",FEMALE,Married,MA,"Production       "
10077,"Manchester, Robyn",FEMALE,Married,MA,"Production       "
10078,"Oliver, Brooke ",FEMALE,Married,MA,"Production       "
10080,"Foster-Baker, Amy",FEMALE,Married,MA,"Admin Offices"
10081,"Boutwell, Bonalyn",FEMALE,Married,MA,"Admin Offices"
10084,"Ait Sidi, Karthikeyan   ",MALE,Married,MA,IT/IS
10088,"Alagbe,Trina",FEMALE,Married,MA,"Production       "
10089,"King, Janet",FEMALE,Married,MA,"Executive Office"
10090,"Spirea, Kelley",FEMALE,Married,MA,"Production       "
10091,"Shields, Seffi",FEMALE,Married,MA,"Production       "
10092,"Landa, Hans",MALE,Married,MA,"Production       "
10094,"Cornett, Lisa ",FEMALE,Married,MA,"Production       "
10108,"Champaigne, Brian",MALE,Married,MA,IT/IS
10113,"Lajiri,  Jyoti",MALE,Married,MA,IT/IS
10117,"Sullivan, Timothy",MALE,Married,MA,"Production       "
10118,"Voldemort, Lord",MALE,Married,MA,IT/IS
10119,"Soto, Julia ",FEMALE,Married,MA,IT/IS
10124,"Potts, Xana",FEMALE,Married,KY,Sales
10125,"Handschiegl, Joanne",FEMALE,Married,MA,"Production       "
10126,"Saada, Adell",FEMALE,Married,MA,"Software Engineering"
10130,"Peterson, Ebonee  ",FEMALE,Married,MA,"Production       "
10131,"Quinn, Sean",MALE,Married,MA,"Software Engineering"
10133,"Dolan, Linda",FEMALE,Married,MA,IT/IS
10134,"LeBlanc, Brandon  R",MALE,Married,MA,"Admin Offices"
10137,"Linden, Mathew",MALE,Married,MA,"Production       "
10138,"Jung, Judy  ",FEMALE,Married,MA,"Production       "
